"title","url","description","stars","language"
"666ghj/BettaFish","https://github.com/666ghj/BettaFish","微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。","13,932","Python"
"Skyvern-AI/skyvern","https://github.com/Skyvern-AI/skyvern","Automate browser-based workflows with LLMs and Computer Vision","15,784","Python"
"HKUDS/DeepCode","https://github.com/HKUDS/DeepCode","""DeepCode: Open Agentic Coding (Paper2Code & Text2Web & Text2Backend)""","9,289","Python"
"nocobase/nocobase","https://github.com/nocobase/nocobase","NocoBase is the most extensible AI-powered no-code/low-code platform for building business applications and enterprise solutions.","17,704","TypeScript"
"mudler/LocalAI","https://github.com/mudler/LocalAI","🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference","37,095","Go"
"sst/opentui","https://github.com/sst/opentui","OpenTUI is a library for building terminal user interfaces (TUIs)","4,354","TypeScript"
"prometheus/alertmanager","https://github.com/prometheus/alertmanager","Prometheus Alertmanager","7,300","Go"
"GopeedLab/gopeed","https://github.com/GopeedLab/gopeed","A modern download manager that supports all platforms. Built with Golang and Flutter.","21,059","Dart"
"imthenachoman/How-To-Secure-A-Linux-Server","https://github.com/imthenachoman/How-To-Secure-A-Linux-Server","An evolving how-to guide for securing a Linux server.","21,074",
"Raphire/Win11Debloat","https://github.com/Raphire/Win11Debloat","A simple, lightweight PowerShell script to remove pre-installed apps, disable telemetry, as well as perform various other changes to customize, declutter and improve your Windows experience. Win11Debloat works for both Windows 10 and Windows 11.","31,974","PowerShell"
"GoogleCloudPlatform/vertex-ai-creative-studio","https://github.com/GoogleCloudPlatform/vertex-ai-creative-studio","GenMedia Creative Studio is a Vertex AI generative media user experience highlighting the use of Imagen, Veo, Gemini 🍌, Gemini TTS, Chirp 3, Lyria and other generative media APIs on Google Cloud.","521","Jupyter Notebook"
"VectifyAI/PageIndex","https://github.com/VectifyAI/PageIndex","📑 PageIndex: Document Index for Reasoning-based RAG","3,503","Python"
"coleam00/ottomator-agents","https://github.com/coleam00/ottomator-agents","All the open source AI Agents hosted on the oTTomator Live Agent Studio platform!","4,689","Python"
"NickvisionApps/Parabolic","https://github.com/NickvisionApps/Parabolic","Download web video and audio","4,110","C++"
"aandrew-me/ytDownloader","https://github.com/aandrew-me/ytDownloader","Desktop App for downloading Videos and Audios from hundreds of sites","5,811","JavaScript"
"sst/opencode","https://github.com/sst/opencode","The AI coding agent built for the terminal.","31,482","TypeScript"
"localstack/localstack","https://github.com/localstack/localstack","💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline","61,155","Python"
"jwasham/coding-interview-university","https://github.com/jwasham/coding-interview-university","A complete computer science study plan to become a software engineer.","332,269",
"666ghj/BettaFish","https://github.com/666ghj/BettaFish","微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。","13,932","Python"
"Skyvern-AI/skyvern","https://github.com/Skyvern-AI/skyvern","Automate browser-based workflows with LLMs and Computer Vision","15,784","Python"
"HKUDS/DeepCode","https://github.com/HKUDS/DeepCode","""DeepCode: Open Agentic Coding (Paper2Code & Text2Web & Text2Backend)""","9,289","Python"
"nocobase/nocobase","https://github.com/nocobase/nocobase","NocoBase is the most extensible AI-powered no-code/low-code platform for building business applications and enterprise solutions.","17,704","TypeScript"
"mudler/LocalAI","https://github.com/mudler/LocalAI","🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference","37,095","Go"
"sst/opentui","https://github.com/sst/opentui","OpenTUI is a library for building terminal user interfaces (TUIs)","4,354","TypeScript"
"prometheus/alertmanager","https://github.com/prometheus/alertmanager","Prometheus Alertmanager","7,300","Go"
"GopeedLab/gopeed","https://github.com/GopeedLab/gopeed","A modern download manager that supports all platforms. Built with Golang and Flutter.","21,059","Dart"
"imthenachoman/How-To-Secure-A-Linux-Server","https://github.com/imthenachoman/How-To-Secure-A-Linux-Server","An evolving how-to guide for securing a Linux server.","21,074",
"Raphire/Win11Debloat","https://github.com/Raphire/Win11Debloat","A simple, lightweight PowerShell script to remove pre-installed apps, disable telemetry, as well as perform various other changes to customize, declutter and improve your Windows experience. Win11Debloat works for both Windows 10 and Windows 11.","31,974","PowerShell"
"GoogleCloudPlatform/vertex-ai-creative-studio","https://github.com/GoogleCloudPlatform/vertex-ai-creative-studio","GenMedia Creative Studio is a Vertex AI generative media user experience highlighting the use of Imagen, Veo, Gemini 🍌, Gemini TTS, Chirp 3, Lyria and other generative media APIs on Google Cloud.","521","Jupyter Notebook"
"VectifyAI/PageIndex","https://github.com/VectifyAI/PageIndex","📑 PageIndex: Document Index for Reasoning-based RAG","3,503","Python"
"coleam00/ottomator-agents","https://github.com/coleam00/ottomator-agents","All the open source AI Agents hosted on the oTTomator Live Agent Studio platform!","4,689","Python"
"NickvisionApps/Parabolic","https://github.com/NickvisionApps/Parabolic","Download web video and audio","4,110","C++"
"aandrew-me/ytDownloader","https://github.com/aandrew-me/ytDownloader","Desktop App for downloading Videos and Audios from hundreds of sites","5,811","JavaScript"
"sst/opencode","https://github.com/sst/opencode","The AI coding agent built for the terminal.","31,482","TypeScript"
